Verse,Reference,Topic
"I rise early, before the sun is up; I cry out for help and put my hope in your words.",Psalm 119:147,God's Presence
"LORD, how great is your mercy; let me be revived by following your regulations.",Psalm 119:156,Compassion
I rejoice in your word like one who discovers a great treasure.,Psalm 119:162,Joy
"Great peace have those who love your law, and nothing can make them stumble.",Psalm 119:165,Peace
"Let me live that I may praise you, and may your laws sustain me.",Psalm 119:175,Freedom
Joyful are those who obey his laws and search for him with all their hearts.,Psalm 119:2,Joy
"I run in the path of your commands, for you have broadened my understanding.",Psalm 119:32,Freedom
I trust in your word.,Psalm 119:42,Trust
"I will walk in freedom, for I have devoted myself to your commandments.",Psalm 119:45,Freedom
Your promise revives me; it comforts me in all my troubles.,Psalm 119:50,Comfort
"May your unfailing love comfort me, just as you promised me, your servant.",Psalm 119:76,Comfort
"Surround me with your tender mercies so I may live, for your instructions are my delight.",Psalm 119:77,Compassion
"I cried out to the Lord in my suffering, and he heard me.",Psalm 120:1,Compassion
I lift up my eyes to the mountains— where does my help come from?,Psalm 121:1,Doubt
I lift up my eyes to the mountains—where does my help come from? My help comes from the Lord.,Psalm 121:1-2,Courage
The Lord himself watches over you! The Lord stands beside you as your protective shade.,Psalm 121:5,Hope
The Lord keeps you from all harm and watches over your life.,Psalm 121:7,Refuge
"The Lord keeps watch over you as you come and go, both now and forever.",Psalm 121:8,Refuge
"We were filled with laughter, and we sang for joy. And the other nations said, 'What amazing things the Lord has done for them.'",Psalm 126:2,Grace
"The Lord has done great things for us, and we are filled with joy.",Psalm 126:3,Joy
Those who plant in tears will harvest with shouts of joy.,Psalm 126:5,Joy
But I trust in your unfailing love. I will rejoice because you have rescued me.,Psalm 13:5,Trust
But I trust in your unfailing love… I will rejoice because you have rescued me.,Psalm 13:5-6,Comfort
I will sing to the Lord because he is good to me.,Psalm 13:6,Gratitude
"There is forgiveness with you, that you may be feared.",Psalm 130:4,Forgiveness
"I am counting on the Lord; yes, I am counting on him. I have put my hope in his word.",Psalm 130:5,Courage
How wonderful and pleasant it is when brothers live together in harmony!,Psalm 133:1,Unity
"Give thanks to the Lord, for he is good! His faithful love endures forever.",Psalm 136:1,Gratitude
"I give you thanks, O Lord, with all my heart; I will sing your praises before the gods.",Psalm 138:1,Gratitude
I bow before your holy Temple as I worship. I praise your name for your unfailing love and faithfulness.,Psalm 138:2,Gratitude
"On the day I called, you answered me; you made me bold with strength in my soul.",Psalm 138:3,Gratitude
The Lord will work out his plans for my life.,Psalm 138:8,Comfort
"You made all the delicate, inner parts of my body and knit me together in my mother’s womb.",Psalm 139:13,God's Presence
"I will praise you, for I am fearfully and wonderfully made.",Psalm 139:14,Transformation
"Search me, O God, and know my heart; test me and know my anxious thoughts.",Psalm 139:23,God's Presence
You chart the path ahead of me and tell me where to stop and rest. Every moment you know where I am.,Psalm 139:3,God's Presence
"You know what I am going to say even before I say it, Lord.",Psalm 139:4,God's Presence
You go before me and follow me. You place your hand of blessing on my head.,Psalm 139:5,God's Presence
Where can I go from your Spirit? Where can I flee from your presence?,Psalm 139:7,God's Presence
"Rescue me, O Lord, from evil people. Protect me from those who are violent.",Psalm 140:1,Refuge
"For the glory of your name, O Lord, preserve my life. Because of your faithfulness, forgive my sins.",Psalm 143:11,Mercy
"Let me hear of your unfailing love each morning, for I am trusting you.",Psalm 143:8,Peace
The Lord helps the fallen and lifts those bent beneath their loads.,Psalm 145:14,Compassion
The Lord is righteous in everything he does; he is filled with kindness.,Psalm 145:17,Compassion
"The Lord is close to all who call on him, yes, to all who call on him in truth.",Psalm 145:18,God's Presence
"The Lord watches over all who love him, but all the wicked he will destroy.",Psalm 145:20,Refuge
"The Lord is merciful and compassionate, slow to get angry and filled with unfailing love.",Psalm 145:8,Grace
The LORD is good to everyone. He showers compassion on all his creation.,Psalm 145:9,Compassion
"Happy are those whose help is the God of Jacob, whose hope is in the Lord their God.",Psalm 146:5,Hope
He gives justice to the oppressed and food to the hungry.,Psalm 146:7,Compassion
The Lord opens the eyes of the blind. The Lord lifts up those who are weighed down.,Psalm 146:8,Freedom
"No, the LORD's delight is in those who fear him, those who put their hope in his unfailing love.",Psalm 147:11,Hope
He heals the brokenhearted and bandages their wounds.,Psalm 147:3,Compassion
He counts the stars and calls them all by name.,Psalm 147:4,Compassion
"The Lord supports the humble, but he brings the wicked down into the dust.",Psalm 147:6,Humility
Sing to the Lord with thanksgiving; sing praises to our God on the harp.,Psalm 147:7,Gratitude
"Keep me safe, O God, for I have come to you for refuge.",Psalm 16:1,Refuge
You make known to me the path of life; in your presence there is fullness of joy.,Psalm 16:11,God's Presence
I know the Lord is always with me. I will not be shaken.,Psalm 16:8,Presence
He reached down from heaven and rescued me; he drew me out of deep waters.,Psalm 18:16,Courage
He led me to a place of safety; he rescued me because he delights in me.,Psalm 18:19,Freedom
"The Lord is my rock, my fortress, and my savior; my God is my rock, in whom I find protection.",Psalm 18:2,Protection
"You light a lamp for me. The Lord, my God, lights up my darkness.",Psalm 18:28,Light in Darkness
"I called on the Lord, who is worthy of praise, and he saved me from my enemies.",Psalm 18:3,Freedom
"God arms me with strength, and he makes my way perfect.",Psalm 18:32,Courage
"You broaden the path beneath me, so that my ankles do not turn.",Psalm 18:36,Freedom
The Lord lives! Praise to my Rock! May the God of my salvation be exalted!,Psalm 18:46,Freedom
In my distress I called to the Lord; I cried to my God for help.,Psalm 18:6,Freedom
"May the words of my mouth and the meditation of my heart be pleasing to you, O Lord, my rock and my redeemer.",Psalm 19:14,Worship
"The instructions of the Lord are right, bringing joy to the heart.",Psalm 19:8,Joy
"Some trust in chariots and some in horses, but we trust in the name of the Lord our God.",Psalm 20:7,Trust
In you our ancestors trusted; they trusted and you delivered them.,Psalm 22:4,Trust
The Lord is my shepherd; I have all that I need.,Psalm 23:1,Comfort
He made them lie down in green meadows; he led them beside peaceful streams.,Psalm 23:2,Compassion
He leads me beside peaceful streams. He renews my strength.,Psalm 23:2-3,Water & Life
"He renews my strength. He guides me along right paths, bringing honor to his name.",Psalm 23:3,Compassion
"Even if I walk through the darkest valley, I will not be afraid.",Psalm 23:4,Courage
You anoint my head with oil. My cup overflows with blessings.,Psalm 23:5,Anointing
Surely your goodness and unfailing love will pursue me all the days of my life.,Psalm 23:6,God's Presence
"In you, Lord my God, I put my trust.",Psalm 25:1,Trust
The Lord is a friend to those who fear him. He teaches them his covenant.,Psalm 25:14,Refuge
No one who hopes in you will ever be put to shame.,Psalm 25:3,Hope
"Guide me in your truth and teach me, for you are God my Savior, and my hope is in you all day long.",Psalm 25:5,Hope
"Remember, O Lord, your compassion and unfailing love, which you have shown from long ages past.",Psalm 25:6,Mercy
He leads the humble in what is right and teaches them his way.,Psalm 25:9,Humility
The Lord is my light and my salvation—so why should I be afraid?,Psalm 27:1,Courage
"Even if my father and mother abandon me, the Lord will hold me close.",Psalm 27:10,Compassion
Wait patiently for the Lord. Be brave and courageous.,Psalm 27:14,Courage
"Though a mighty army surrounds me, my heart will not be afraid.",Psalm 27:3,Courage
"The one thing I ask of the Lord—the thing I seek most—is to live in the house of the Lord all the days of my life, delighting in the Lord’s perfections and meditating in his Temple.",Psalm 27:4,God's Presence
"My heart has heard you say, “Come and talk with me.” And my heart responds, “Lord, I am coming.”",Psalm 27:8,God's Presence
Praise the Lord; he has heard my cry for mercy.,Psalm 28:6,Compassion
The Lord is my strength and shield. I trust him with all my heart.,Psalm 28:7,Courage
The Lord gives his people strength. The Lord blesses them with peace.,Psalm 29:11,Peace
The voice of the Lord echoes above the sea. The God of glory thunders. The Lord thunders over the mighty sea.,Psalm 29:3,Water & Life
"But you, O Lord, are a shield around me; you are my glory, the one who holds my head high.",Psalm 3:3,Mercy
I will not be afraid of ten thousands of enemies who surround me on every side.,Psalm 3:6,Courage
You have turned my mourning into joyful dancing. You have taken away my clothes of mourning and clothed me with joy.,Psalm 30:11,Gratitude
"That I might sing praises to you and not be silent. O Lord my God, I will give you thanks forever!",Psalm 30:12,Gratitude
"Sing to the Lord, all you godly ones! Praise his holy name.",Psalm 30:4,Joy
"Weeping may last through the night, but joy comes with the morning.",Psalm 30:5,Joy
"In you, O Lord, I have taken refuge; let me never be put to shame.",Psalm 31:1,Refuge
"But I am trusting you, O Lord, saying, 'You are my God!'",Psalm 31:14,Trust
"But as for me, I trust in You … My times are in Your hand …",Psalm 31:14-15,Comfort
My future is in your hands. Rescue me from those who hunt me down relentlessly.,Psalm 31:15,Hope
"So be strong and courageous, all you who put your hope in the Lord!",Psalm 31:24,Courage
"You are my rock and my fortress. For the honor of your name, lead me out of this danger.",Psalm 31:3,Refuge
"I will be glad and rejoice in your love, for you saw my affliction and knew the anguish of my soul.",Psalm 31:7,Grace
"Blessed is the one whose transgressions are forgiven, whose sins are covered.",Psalm 32:1,Forgiveness
Mercy shall surround him… Be glad … rejoice …,Psalm 32:10-11,Comfort
You forgave me! All my guilt is gone.,Psalm 32:5,Forgiveness
You are my hiding place; you protect me from trouble.,Psalm 32:7,Courage
We put our hope in the Lord. He is our help and our shield.,Psalm 33:20,Patience
"In him our hearts rejoice, for we trust in his holy name.",Psalm 33:21,Refuge
"Let your unfailing love surround us, LORD, for our hope is in you alone.",Psalm 33:22,Hope
"Even strong young lions sometimes go hungry, but those who trust in the Lord will lack no good thing.",Psalm 34:10,Courage
"Turn away from evil and do good. Search for peace, and work to maintain it.",Psalm 34:14,Peace
The Lord hears his people when they call to him for help. He rescues them from all their troubles.,Psalm 34:17,Mercy
The LORD is near to those who have a broken heart … he delivers them…,Psalm 34:17-19,Comfort
The Lord is close to the brokenhearted; he rescues those whose spirits are crushed.,Psalm 34:18,Compassion
"The righteous person faces many troubles, but the Lord comes to the rescue each time.",Psalm 34:19,Joy
"I prayed to the Lord, and he answered me. He freed me from all my fears.",Psalm 34:4,Courage
"The angel of the Lord encamps around those who fear him, and he delivers them.",Psalm 34:7,Courage
I will give you thanks in the great assembly. I will praise you among many people.,Psalm 35:18,Gratitude
They feast on the abundance of your house; you give them drink from your river of delights.,Psalm 36:8,Water & Life
For with you is the fountain of life; in your light we see light.,Psalm 36:9,Water & Life
Humble people will inherit every blessing and enjoy abundant peace.,Psalm 37:11,Humility
The Lord directs the steps of the godly. He delights in every detail of their lives.,Psalm 37:23,Doubt
"Though they stumble, they will never fall, for the Lord holds them by the hand.",Psalm 37:24,Compassion
Trust in the Lord and do good. Then you will live safely in the land and prosper.,Psalm 37:3,Trust
The godly offer good counsel; they teach right from wrong.,Psalm 37:30,Wisdom
Don’t be impatient for the Lord to act! Travel steadily along his path.,Psalm 37:34,Patience
"Take delight in the Lord, and he will give you your heart’s desires.",Psalm 37:4,Delight
"Commit everything you do to the Lord. Trust him, and he will help you.",Psalm 37:5,God's Presence
"Be still in the presence of the Lord, and wait patiently for him to act.",Psalm 37:7,God's Presence
"For in you, O Lord, I hope; you will hear, O Lord my God.",Psalm 38:15,Comfort
"And now, Lord, what do I wait for? My hope is in You.",Psalm 39:7,Comfort
You have given me greater joy than those who have abundant harvests of grain and new wine.,Psalm 4:7,Joy
"In peace I will lie down and sleep, for you alone, LORD, make me dwell in safety.",Psalm 4:8,Peace
"I waited patiently for the Lord to help me, and he turned to me and heard my cry.",Psalm 40:1,Patience
He lifted me out of the pit of despair… He set my feet on solid ground …,Psalm 40:1-2,Comfort
May all who search for you be filled with joy and gladness in you.,Psalm 40:16,Joy
"He lifted me out of the pit of despair, out of the mud and the mire.",Psalm 40:2,Compassion
Blessed are those who are kind to the poor; the Lord will rescue them when they are in trouble.,Psalm 41:1,Mercy
The Lord protects them and keeps them alive. He gives them prosperity in the land and rescues them from their enemies.,Psalm 41:2,Mercy
The Lord nurses them when they are sick and restores them to health.,Psalm 41:3,Mercy
Why am I discouraged? Why is my heart so sad? I will put my hope in God!,Psalm 42:11,Hope
Send out your light and your truth; let them guide me.,Psalm 43:3,Light in Darkness
"You love justice and hate evil. Therefore, O God, your God has anointed you, pouring out the oil of joy on you more than on anyone else.",Psalm 45:7,Anointing
"God is our refuge and strength, always ready to help in times of trouble.",Psalm 46:1,Refuge
"Be still, and know that I am God!",Psalm 46:10,Courage
The LORD of Heaven’s Armies is here among us; the God of Israel is our fortress.,Psalm 46:11,Comfort
The Lord of Heaven’s Armies is here among us; the God of Israel is our fortress.,Psalm 46:7,God's Presence
"Clap your hands, all you nations; shout to God with cries of joy.",Psalm 47:1,Joy
But let all who take refuge in you rejoice; let them sing joyful praises forever.,Psalm 5:11,Freedom
"Have mercy on me, O God, because of your unfailing love. Because of your great compassion, blot out the stain of my sins.",Psalm 51:1,Compassion
"Create in me a clean heart, O God. Renew a loyal spirit within me.",Psalm 51:10,New Beginnings
"Do not banish me from your presence, and don’t take your Holy Spirit from me.",Psalm 51:11,God's Presence
"Restore to me the joy of your salvation, and make me willing to obey you.",Psalm 51:12,God's Presence
Wash me clean from my guilt. Purify me from my sin.,Psalm 51:2,Mercy
But I will trust in your unfailing love.,Psalm 52:8,Trust
God is my helper. The Lord keeps me alive!,Psalm 54:4,Courage
"Give your burdens to the Lord, and he will take care of you.",Psalm 55:22,Trust
In God I trust and am not afraid. What can man do to me?,Psalm 56:11,Courage
"I will fulfill my vows to you, O God, and will offer a sacrifice of thanks for your help.",Psalm 56:12,Gratitude
"When I am afraid, I will put my trust in you.",Psalm 56:3,Courage
You keep track of all my sorrows… you have collected all my tears in your bottle.,Psalm 56:8,Doubt
"Be merciful to me, O God, be merciful! I look to you for protection.",Psalm 57:1,Refuge
"I cry out to God Most High, to God who will fulfill his purpose for me.",Psalm 57:2,Doubt
Good people will rejoice when the Lord shows his justice.,Psalm 58:10,Joy
"But as for me, I will sing about your power. Each morning I will sing with joy about your unfailing love.",Psalm 59:16,Refuge
You are my strength; I wait for you to rescue me.,Psalm 59:9,Courage
"With God’s help we will do mighty things, for he will trample down our foes.",Psalm 60:12,Courage
I cry to you for help when my heart is overwhelmed. Lead me to the towering rock of safety.,Psalm 61:2,Refuge
"Let me live forever in your sanctuary, safe beneath the shelter of your wings!",Psalm 61:4,Refuge
"I wait quietly before God, for my victory comes from him.",Psalm 62:1,God's Presence
"You are strong, God; you are loving, Lord.",Psalm 62:11-12,Courage
"He alone is my rock and my salvation, my fortress where I will never be shaken.",Psalm 62:2,God's Presence
"Let all that I am wait quietly before God, for my hope is in him.",Psalm 62:5,Trust
"He alone is my rock and my salvation, my fortress where I will not be shaken.",Psalm 62:6,Stability
"My victory and honor come from God alone. He is my refuge, a rock where no enemy can reach me.",Psalm 62:7,Trust
"O my people, trust in him at all times. Pour out your heart to him, for God is our refuge.",Psalm 62:8,Trust
Your unfailing love is better than life itself; how I praise you!,Psalm 63:3,Grace
"I will praise you as long as I live, lifting up my hands to you in prayer.",Psalm 63:4,Gratitude
The godly will rejoice in the Lord and find shelter in him.,Psalm 64:10,Joy
"You care for the land and water it, making it rich and fertile.",Psalm 65:9,Water & Life
"I will praise the name of God with a song, and will magnify him with thanksgiving.",Psalm 69:30,Gratitude
"I run to you for protection, O Lord my God. Save me from my persecutors—rescue me!",Psalm 7:1,Refuge
I will give thanks to the Lord because of his righteousness; I will sing the praises of the name of the Lord Most High.,Psalm 7:17,Gratitude
Let all who seek you rejoice and be glad in you.,Psalm 70:4,Joy
"In you, O Lord, I have taken refuge; let me never be disgraced.",Psalm 71:1,Refuge
But I will keep on hoping for your help; I will praise you more and more.,Psalm 71:14,Hope
You strengthen me more and more. You comfort me once again.,Psalm 71:21,Courage
"You will keep on guiding me with your counsel, leading me to a glorious destiny.",Psalm 73:24,Courage
"My health may fail, and my spirit may grow weak, but God remains the strength of my heart; he is mine forever.",Psalm 73:26,Eternity
"But as for me, how good it is to be near God! I have made the Sovereign Lord my shelter, and I will tell everyone about the wonderful things you do.",Psalm 73:28,God's Presence
"We thank you, O God! We give thanks because you are near.",Psalm 75:1,Gratitude
You are the God of great wonders! You demonstrate your awesome power.,Psalm 77:14,Compassion
You led your people like a flock by the hand of Moses and Aaron.,Psalm 77:20,Shepherd
"He split open the rocks in the wilderness to give them water, as from a gushing spring.",Psalm 78:15,Water & Life
He brought streams out of a rocky crag and made water flow down like rivers.,Psalm 78:16,Water & Life
"They remembered that God was their Rock, that God Most High was their Redeemer.",Psalm 78:35,Gratitude
"Give ear, Shepherd of Israel, you who lead Joseph like a flock.",Psalm 80:1,Shepherd
"My soul longs, yes, even faints for the courts of the Lord; my heart and flesh cry out for the living God.",Psalm 84:2,Hope
"I listen carefully to what God the Lord is saying, for he speaks peace to his faithful people.",Psalm 85:8,Peace
"You, O Lord, are a God of compassion and mercy, slow to get angry and filled with unfailing love and faithfulness.",Psalm 86:15,Grace
You are my God; save your servant who trusts in you.,Psalm 86:2,Trust
"You, Lord, are forgiving and good, abounding in love to all who call to you.",Psalm 86:5,Grace
"Happy are those who hear the joyful call to worship, for they will walk in the light of your presence, Lord.",Psalm 89:15,Joy
They rejoice all day long in your wonderful reputation. They exult in your righteousness.,Psalm 89:16,Joy
"I will give thanks to you, Lord, with all my heart; I will tell of all your wonderful deeds.",Psalm 9:1,Gratitude
"Those who know your name trust in you, for you, O Lord, do not abandon those who search for you.",Psalm 9:10,Faithfulness
But the needy will not be ignored forever; the hopes of the poor will not always be crushed.,Psalm 9:18,Hope
"I will be filled with joy because of you. I will sing praises to your name, O Most High.",Psalm 9:2,Joy
"The Lord is a shelter for the oppressed, a refuge in times of trouble.",Psalm 9:9,Refuge
"Those who live in the shelter of the Most High will find rest in the shadow of the Almighty. This I declare about the Lord: He alone is my refuge, my place of safety; he is my God, and I trust him.",Psalm 91:1-2,God's Presence
No evil will conquer you; no plague will come near your home.,Psalm 91:10,Mercy
He will order his angels to protect you wherever you go.,Psalm 91:11,Mercy
"The Lord says, 'I will rescue those who love me. I will protect those who trust in my name.'",Psalm 91:14,Refuge
"I will say of the Lord, 'He is my refuge and my fortress, my God, in whom I trust.'",Psalm 91:2,Mercy
He will rescue you from every trap and protect you from deadly disease.,Psalm 91:3,Freedom
He will cover you with his feathers. He will shelter you with his wings.,Psalm 91:4,Freedom
"You will not fear the terror of night, nor the arrow that flies by day.",Psalm 91:5,Courage
"Though a thousand fall at your side, though ten thousand are dying around you, these evils will not touch you.",Psalm 91:7,Mercy
Even in old age they will still produce fruit; they will remain vital and green.,Psalm 92:14,Compassion
"You thrill me, Lord, with all you have done for me! I sing for joy because of what you have done.",Psalm 92:4,Joy
"I cried out, 'I am slipping!' but your unfailing love, O Lord, supported me.",Psalm 94:18,Comfort
"When doubts filled my mind, your comfort gave me renewed hope and cheer.",Psalm 94:19,Comfort
But the Lord is my fortress; my God is the mighty rock where I hide.,Psalm 94:22,Refuge
Let us come to him with thanksgiving. Let us sing psalms of praise to him.,Psalm 95:2,Gratitude
"In his hand are the depths of the earth, and the mountain peaks belong to him.",Psalm 95:4,God's Presence
"The sea belongs to him, for he made it. His hands formed the dry land, too.",Psalm 95:5,God's Presence
"Come, let us worship and bow down. Let us kneel before the Lord our maker.",Psalm 95:6,God's Presence
"Come, let us worship and bow down. Let us kneel before the Lord our maker, for he is our God. We are the people he watches over, the flock under his care.",Psalm 95:6-7,Shepherd
"Let the heavens be glad, and the earth rejoice! Let the sea and everything in it shout his praise!",Psalm 96:11,Joy
Worship the Lord in all his holy splendor. Let all the earth tremble before him.,Psalm 96:9,God's Presence
"Light shines on the godly, and joy on those whose hearts are right.",Psalm 97:11,Joy
"Don’t be afraid! I am the First and the Last. I am the living one. I died, but look—I am alive forever and ever!",Revelation 1:17-18,EternalLife
"The city has no need of sun or moon, for the glory of God illuminates the city.",Revelation 21:23,Light in Darkness
"He will wipe every tear from their eyes, and there will be no more death or sorrow or crying or pain.",Revelation 21:4,Compassion
I will give freely from the springs of the water of life.,Revelation 21:6,Water & Life
"Then the angel showed me a river with the water of life, clear as crystal, flowing from the throne of God and of the Lamb.",Revelation 22:1,Water & Life
Let the thirsty ones come—anyone who wants to. Let them drink the water of life freely.,Revelation 22:17,Water & Life
"They will need no lamp or sun, for the Lord God will shine on them.",Revelation 22:5,Light in Darkness
"“Look! I stand at the door and knock. If you hear my voice and open the door, I will come in, and we will share a meal together as friends.",Revelation 3:20,God's Presence
For the Lamb on the throne will be their Shepherd. He will lead them to springs of life-giving water.,Revelation 7:17,Shepherd
May God our Father and the Lord Jesus Christ give you grace and peace.,Romans 1:7,Grace
"So faith comes from hearing, that is, hearing the Good News about Christ.",Romans 10:17,Faith
"And since it is through God’s kindness, then it is not by their good works.",Romans 11:6,Grace
"Love each other with genuine affection, and take delight in honoring each other.",Romans 12:10,Love
"Rejoice in our confident hope. Be patient in trouble, and keep on praying.",Romans 12:12,Patience
"When God’s people are in need, be ready to help them. Always be eager to practice hospitality.",Romans 12:13,Love
Rejoice with those who rejoice; mourn with those who mourn.,Romans 12:15,Love
Live in harmony with each other. Don’t be too proud to enjoy the company of ordinary people.,Romans 12:16,Humility
Never pay back evil with more evil. Do things in such a way that everyone can see you are honorable.,Romans 12:17,Love
"If possible, so far as it depends on you, live peaceably with all.",Romans 12:18,Peace
"Don't copy the behavior and customs of this world, but let God transform you into a new person by changing the way you think. Then you will learn to know God's will for you, which is good and pleasing and perfect.",Romans 12:2,New Beginnings
"Don’t let evil conquer you, but conquer evil by doing good.",Romans 12:21,Goodness
Don’t think you are better than you really are. Be honest in your evaluation of yourselves.,Romans 12:3,Humility
"So we, though many, are one body in Christ, and individually members one of another.",Romans 12:5,Unity
Don’t just pretend to love others. Really love them. Hate what is wrong. Hold tightly to what is good.,Romans 12:9,Love
"Love does no wrong to others, so love fulfills the requirements of God’s law.",Romans 13:10,Love
The night is almost gone; the day of salvation will soon be here.,Romans 13:12,Light in Darkness
"For the kingdom of God is not a matter of what we eat or drink, but of living a life of goodness and peace and joy.",Romans 14:17,Peace
"So then, let us aim for harmony in the church and try to build each other up.",Romans 14:19,Unity
"May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope.",Romans 15:13,Hope
"Each of us should please our neighbors for their good, to build them up.",Romans 15:2,Love
The Scriptures give us hope and encouragement as we wait patiently.,Romans 15:4,Scripture
Now may the God who gives endurance and encouragement grant you harmony with one another.,Romans 15:5,Unity
Accept each other just as Christ has accepted you so that God will be given glory.,Romans 15:7,Love
The God of peace will soon crush Satan under your feet.,Romans 16:20,Peace
We are made right with God by placing our faith in Jesus Christ.,Romans 3:22,Grace
"Therefore, since we have been made right in God’s sight by faith, we have peace with God because of what Jesus Christ our Lord has done for us.”",Romans 5:1,Peace
"Where sin increased, grace increased all the more.",Romans 5:20,Grace
"We can rejoice, too, when we run into problems and trials, for we know that they help us develop endurance.",Romans 5:3,Patience
And this hope will not lead to disappointment. For we know how dearly God loves us.,Romans 5:5,Refuge
God showed his great love for us by sending Christ to die for us while we were still sinners.,Romans 5:8,Grace
"Sin is no longer your master, for you no longer live under the requirements of the law. Instead, you live under the freedom of God’s grace.",Romans 6:14,Freedom
"But thanks be to God that, though you used to be slaves to sin, you have come to obey from your heart.",Romans 6:17,Freedom
"Now you are free from your slavery to sin, and you have become slaves to righteous living.",Romans 6:18,Freedom
"Now that you have been set free from sin and have become slaves of God, the benefit you reap leads to holiness, and the result is eternal life.",Romans 6:22,Freedom
"For we died and were buried with Christ by baptism. And just as Christ was raised from the dead by the glorious power of the Father, now we also may live new lives.",Romans 6:4,New Beginnings
So now there is no condemnation for those who belong to Christ Jesus.,Romans 8:1,Forgiveness
"Christ lives within you, so even though your body will die because of sin, the Spirit gives you life.",Romans 8:10,Jesus
"The Spirit of God, who raised Jesus from the dead, lives in you.",Romans 8:11,Holy Spirit
For all who are led by the Spirit of God are children of God.,Romans 8:14,Holy Spirit
The Spirit himself testifies with our spirit that we are God’s children.,Romans 8:16,Holy Spirit
"And because you belong to him, the power of the life-giving Spirit has freed you from the power of sin that leads to death.",Romans 8:2,Freedom
"But if we look forward to something we don’t yet have, we must wait patiently and confidently.",Romans 8:25,Patience
And the Holy Spirit helps us in our weakness.,Romans 8:26,Holy Spirit
And we know that God causes everything to work together for the good of those who love God.,Romans 8:28,Purpose
I am convinced that nothing can ever separate us from God’s love.,Romans 8:38,Patience
The mind governed by the Spirit is life and peace.,Romans 8:6,Peace
But you are not controlled by your sinful nature. You are controlled by the Spirit if you have the Spirit of God living in you.,Romans 8:9,Holy Spirit
"For God said to Moses, 'I will show mercy to anyone I choose, and I will show compassion to anyone I choose.'",Romans 9:15,Compassion
"For the grace of God has been revealed, bringing salvation to all people.",Titus 2:11,Grace
"Be ready to help those in need, and always be eager to do good.",Titus 3:1,Love
The kindness and love of God our Savior appeared.,Titus 3:4,Grace
"He saved us, not because of the righteous things we had done, but because of his mercy.",Titus 3:5,Grace
He generously poured out the Spirit upon us through Jesus Christ our Savior.,Titus 3:6,Holy Spirit
"For the Lord your God is living among you. He is a mighty savior. He will take delight in you with gladness. With his love, he will calm all your fears. He will rejoice over you with joyful songs.",Zephaniah 3:17,God's Presence
